Reagentes sistema 1,Reagentes sistema 2,Reagentes sistema 3,Reagentes sistema 4,Reagentes sistema 5,tempo
81,133,151,163,177,261
81,133,151,163,177,262
81,133,151,161,177,263
81,133,151,161,177,264
81,133,151,161,177,265
81,133,151,161,177,266
81,133,151,161,177,267
81,133,151,161,177,268
81,133,151,161,177,269
81,133,151,161,177,270
81,133,151,161,177,271
81,133,151,161,177,272
81,133,151,161,177,273
81,133,151,161,177,274
81,133,151,161,177,275
81,133,151,161,177,276
81,133,151,161,177,277
81,133,151,161,177,278
81,133,151,161,177,279
81,133,151,161,177,280
81,133,151,161,177,281
81,133,151,161,177,282
81,133,151,161,177,283
81,133,151,161,177,284
81,133,151,161,177,285
81,133,151,161,177,286
81,133,151,161,177,287
81,133,151,161,177,288
81,133,151,161,177,289
81,133,149,161,177,290
81,133,149,161,177,291
81,133,149,161,177,292
81,133,149,161,177,293
81,131,149,161,177,294
81,131,149,161,177,295
81,131,149,161,177,296
81,131,149,161,177,297
81,131,149,161,177,298
81,131,149,161,177,299
81,131,149,161,177,300
81,131,149,161,177,301
81,131,149,161,177,302
81,131,149,161,177,303
81,131,149,161,177,304
81,131,149,161,177,305
81,131,149,161,177,306
81,131,149,161,177,307
81,131,149,161,177,308
81,131,149,161,177,309
81,131,149,161,177,310
81,131,149,161,177,311
81,131,149,161,177,312
81,131,149,161,177,313
81,131,149,161,177,314
81,131,149,159,177,315
81,131,149,159,177,316
81,131,149,159,177,317
81,131,149,159,177,318
81,131,149,159,177,319
81,131,149,159,177,320
81,131,149,159,177,321
81,131,149,159,177,322
81,131,149,159,177,323
81,131,149,159,177,324
81,131,149,159,177,325
81,131,149,159,177,326
81,131,149,159,177,327
81,131,149,159,177,328
81,131,149,159,177,329
81,131,149,159,177,330
81,131,149,159,177,331
81,131,149,159,177,332
81,131,149,159,177,333
81,131,149,159,177,334
81,131,149,159,177,335
81,131,149,159,177,336
81,131,149,159,177,337
81,131,149,159,177,338
81,131,149,159,177,339
81,131,149,159,177,340
81,131,149,159,177,341
81,131,149,159,177,342
81,131,149,159,175,343
81,131,149,159,175,344
81,131,149,159,175,345
81,131,149,159,175,346
81,131,149,159,175,347
81,131,149,159,175,348
81,131,149,159,175,349
81,131,149,159,175,350
81,131,149,159,175,351
81,131,149,159,175,352
81,131,149,159,175,353
81,131,149,159,175,354
81,131,149,159,175,355
81,131,149,159,175,356
81,131,149,159,175,357
81,131,149,159,175,358
81,131,149,159,175,359
81,131,149,159,175,360
81,131,149,159,175,361
81,131,149,159,175,362
81,131,149,159,175,363
81,131,149,159,175,364
81,131,149,159,175,365
81,131,149,159,175,366
81,131,149,159,175,367
81,131,149,159,175,368
81,131,149,159,175,369
81,131,149,159,175,370
81,131,149,159,175,371
81,131,149,159,175,372
81,131,149,159,175,373
81,131,149,159,175,374
81,131,149,159,175,375
81,131,149,159,175,376
81,131,149,159,175,377
81,131,149,159,175,378
81,131,149,159,175,379
81,131,149,159,175,380
81,131,149,159,175,381
81,131,149,159,175,382
81,131,149,159,175,383
81,131,149,159,175,384
81,131,149,159,175,385
81,131,149,159,175,386
81,131,149,159,175,387
81,131,149,159,175,388
81,131,149,159,175,389
81,131,149,159,175,390
81,131,149,159,175,391
81,131,149,159,175,392
81,131,149,159,175,393
81,131,149,159,175,394
81,131,149,159,175,395
81,131,149,159,175,396
81,131,149,159,175,397
81,131,149,159,175,398
81,131,149,159,175,399
