Reagentes sistema 1,Reagentes sistema 2,Reagentes sistema 3,Reagentes sistema 4,Reagentes sistema 5,tempo
21,35,53,59,59,228
21,35,53,59,59,229
21,35,53,59,59,230
21,35,53,59,59,231
21,35,53,59,59,232
21,35,53,59,59,233
21,35,53,59,59,234
21,35,53,59,59,235
21,35,53,59,59,236
21,35,53,59,59,237
21,35,53,59,59,238
21,35,53,59,59,239
21,35,53,59,59,240
21,35,53,59,59,241
21,35,53,59,59,242
21,35,53,59,59,243
21,35,53,59,59,244
21,35,53,59,59,245
21,35,53,59,59,246
21,35,53,59,59,247
21,35,53,59,59,248
21,35,53,59,59,249
21,35,53,59,59,250
21,35,53,59,59,251
21,35,53,59,59,252
21,35,53,59,59,253
21,35,53,59,59,254
21,35,53,59,59,255
21,35,53,59,59,256
21,35,53,59,59,257
21,35,53,59,59,258
21,35,53,59,59,259
21,35,53,59,59,260
21,35,53,59,59,261
21,35,53,59,59,262
21,35,53,59,59,263
21,35,53,59,57,264
21,35,53,59,57,265
21,35,53,59,57,266
21,35,53,59,57,267
21,35,53,59,57,268
21,35,53,59,57,269
21,35,53,59,57,270
21,35,53,59,57,271
21,35,53,59,57,272
21,35,53,59,57,273
21,35,53,59,57,274
21,35,53,59,57,275
21,35,53,59,57,276
21,35,53,59,57,277
21,35,53,59,57,278
21,35,53,59,57,279
21,35,53,59,57,280
21,35,53,59,57,281
21,35,53,59,57,282
21,35,53,59,57,283
21,35,53,59,57,284
21,35,53,59,57,285
21,35,53,59,57,286
21,35,53,59,57,287
21,35,53,59,57,288
21,35,53,59,57,289
21,35,53,59,57,290
21,35,53,59,57,291
21,35,53,59,57,292
21,35,53,59,57,293
21,35,53,59,57,294
21,35,53,59,57,295
21,35,53,59,57,296
21,35,53,59,57,297
21,35,53,59,57,298
21,35,53,59,57,299
21,35,53,59,57,300
21,35,53,59,57,301
21,35,53,59,57,302
21,35,53,59,57,303
21,35,53,59,57,304
21,35,53,59,57,305
21,35,53,59,57,306
21,35,53,59,57,307
21,35,53,59,57,308
